EPisode;diff_expZ_0;diff_expZ_1;diff_expZ_2;diff_expZ_3;diff_Q_0;diff_Q_1;action_diff
1;0.246;0.018;0.7;0.26;61.317;64.856;1
1;0.036;0.074;0.377;0.102;16.814;23.101;1
1;0.368;0.218;0.671;0.217;56.407;65.848;1
1;0.103;0.076;0.192;0.123;19.537;21.331;0
1;0.367;0.193;0.566;0.084;43.155;55.546;1
1;0.378;0.198;0.519;0.153;35.928;49.556;1
1;0.339;0.178;0.289;0.178;18.582;31.529;1
1;0.27;0.015;0.042;0.319;2.063;5.448;1
1;0.323;0.16;0.234;0.204;3.732;11.248;1
1;0.242;0.244;0.344;0.252;0.1;6.48;1
2;0.335;0.055;0.765;0.272;66.204;69.955;1
2;0.017;0.046;0.192;0.022;13.047;14.506;0
2;0.251;0.086;0.755;0.248;64.189;67.873;1
2;0.312;0.169;0.723;0.239;61.443;68.332;1
2;0.142;0.237;0.261;0.118;23.932;28.958;0
2;0.261;0.073;0.706;0.205;58.262;64.458;1
2;0.306;0.25;0.665;0.101;49.35;61.041;1
2;0.098;0.09;0.229;0.124;21.01;23.292;0
2;0.374;0.236;0.557;0.093;43.098;55.445;1
2;0.378;0.191;0.463;0.011;31.009;44.985;1
2;0.222;0.055;0.088;0.016;8.215;13.562;0
2;0.368;0.054;0.328;0.097;24.13;35.754;1
2;0.219;0.084;0.023;0.11;1.537;5.859;0
2;0.122;0.081;0.339;0.033;9.154;11.839;0
2;0.371;0.03;0.104;0.184;8.173;19.066;1
2;0.286;0.081;0.055;0.252;0.251;7.85;1
3;0.213;0.007;0.758;0.275;65.394;68.036;1
3;0.345;0.109;0.632;0.35;58.248;62.836;1
3;0.104;0.064;0.331;0.163;11.632;19.136;1
3;0.304;0.306;0.631;0.155;50.36;61.094;1
3;0.32;0.222;0.53;0.051;38.306;50.673;1
3;0.249;0.028;0.152;0.025;12.356;19.048;0
3;0.113;0.161;0.311;0.079;19.67;26.139;0
3;0.338;0.157;0.364;0.129;21.809;35.646;1
3;0.383;0.087;0.128;0.213;11.738;22.013;1
3;0.33;0.094;0.1;0.332;2.035;10.298;1
3;0.228;0.217;0.252;0.243;2.751;8.464;1
4;0.305;0.014;0.682;0.215;58.19;64.227;1
4;0.314;0.196;0.69;0.206;57.536;66.085;1
4;0.208;0.069;0.371;0.065;28.746;35.19;0
4;0.379;0.056;0.647;0.138;52.026;62.13;1
4;0.403;0.203;0.631;0.025;41.801;56.06;1
4;0.29;0.216;0.419;0.039;28.145;40.244;1
4;0.236;0.098;0.183;0.227;12.623;21.105;1
4;0.249;0.019;0.072;0.243;3.012;9.266;1
4;0.303;0.269;0.262;0.291;3.671;10.047;1
4;0.221;0.35;0.334;0.187;0.252;4.792;1
5;0.197;0.029;0.702;0.26;60.835;63.166;0
5;0.298;0.112;0.677;0.272;60.257;64.811;1
5;0.255;0.227;0.75;0.217;60.206;68.026;1
5;0.329;0.132;0.633;0.219;54.968;62.2;1
5;0.275;0.196;0.545;0.159;45.141;53.57;1
5;0.064;0.095;0.271;0.131;17.596;21.531;0
5;0.354;0.178;0.416;0.033;27.616;40.938;1
5;0.266;0.118;0.007;0.052;2.503;10.191;1
5;0.295;0.106;0.159;0.331;0.832;8.565;1
5;0.245;0.262;0.297;0.306;1.992;8.2;1
5;0.186;0.331;0.348;0.203;1.001;4.886;1
6;0.299;0.004;0.73;0.279;64.779;68.996;1
6;0.292;0.159;0.695;0.244;60.049;66.957;1
6;0.361;0.217;0.648;0.215;55.56;64.459;1
6;0.35;0.244;0.504;0.097;39.563;51.144;1
6;0.345;0.152;0.389;0.035;25.086;38.228;1
6;0.347;0.119;0.22;0.203;12.782;24.434;1
6;0.293;0.092;0.15;0.314;1.628;9.143;1
6;0.325;0.218;0.39;0.313;1.242;9.542;1
6;0.213;0.407;0.436;0.216;5.305;0.303;1
7;0.37;0.063;0.658;0.258;59.8;64.93;1
7;0.391;0.097;0.703;0.224;60.086;68.046;1
7;0.331;0.218;0.618;0.129;48.58;59.699;1
7;0.389;0.214;0.571;0.009;37.484;51.421;1
7;0.336;0.166;0.322;0.181;18.124;32.272;1
7;0.311;0.014;0.016;0.252;4.541;12.655;1
7;0.355;0.131;0.332;0.347;3.44;4.943;1
7;0.22;0.283;0.339;0.24;2.672;8.182;1
8;0.24;0.026;0.709;0.364;65.209;66.046;0
8;0.196;0.133;0.655;0.282;59.018;61.74;0
8;0.284;0.184;0.641;0.297;59.615;64.846;1
8;0.309;0.24;0.682;0.252;59.495;67.387;1
8;0.064;0.032;0.189;0.071;7.766;12.477;0
8;0.312;0.267;0.597;0.21;51.869;61.072;1
8;0.319;0.25;0.517;0.142;42.978;53.362;1
8;0.371;0.124;0.378;0.042;24.04;37.115;1
8;0.374;0.055;0.103;0.199;8.669;19.203;1
8;0.371;0.152;0.148;0.376;0.998;9.391;1
8;0.303;0.241;0.416;0.299;0.97;9.297;1
8;0.106;0.398;0.363;0.143;1.736;1.231;1
9;0.001;0.071;0.455;0.285;45.034;40.516;1
9;0.145;0.183;0.677;0.226;56.612;58.315;0
9;0.229;0.061;0.731;0.25;62.164;64.781;0
9;0.189;0.057;0.721;0.249;61.003;64.214;1
9;0.325;0.23;0.682;0.314;61.968;67.936;1
9;0.324;0.208;0.674;0.18;54.722;63.975;1
9;0.283;0.197;0.598;0.109;45.68;55.741;1
9;0.333;0.12;0.422;0.008;28.666;40.891;1
9;0.413;0.02;0.183;0.107;15.272;25.325;1
9;0.456;0.069;0.19;0.302;0.873;9.229;1
9;0.356;0.242;0.406;0.31;2.972;11.96;1
9;0.015;0.09;0.247;0.068;0.178;0.549;0
10;0.231;0.06;0.753;0.256;64.199;67.584;1
10;0.008;0.067;0.326;0.079;14.656;18.92;1
10;0.363;0.251;0.666;0.255;58.719;67.047;1
10;0.022;0.102;0.282;0.033;14.455;17.462;0
10;0.312;0.212;0.594;0.132;47.083;57.473;1
10;0.384;0.289;0.536;0.093;41.447;53.743;1
10;0.304;0.18;0.345;0.131;18.791;32.491;1
10;0.337;0.002;0.093;0.176;9.683;18.661;1
10;0.29;0.102;0.201;0.292;2.352;9.437;1
10;0.262;0.359;0.36;0.273;2.227;7.776;1
10;0.091;0.396;0.318;0.108;0.131;1.801;1
