EPisode;diff_expZ_0;diff_expZ_1;diff_expZ_2;diff_expZ_3;diff_Q_0;diff_Q_1;action_diff
1;0.115;0.198;0.168;0.072;9.563;6.65;0
1;0.182;0.194;0.118;0.051;9.227;7.196;0
1;0.243;0.081;0.108;0.118;5.4;3.725;0
1;0.383;0.21;0.058;0.053;5.882;4.752;0
1;0.045;0.032;0.15;0.027;3.447;2.278;0
1;0.544;0.056;0.058;0.084;3.967;2.869;0
1;0.484;0.066;0.029;0.158;6.231;6.344;0
1;0.466;0.011;0.044;0.266;6.649;6.533;0
1;0.287;0.046;0.082;0.226;7.546;7.196;0
1;0.17;0.129;0.051;0.246;7.96;7.323;0
2;0.128;0.139;0.125;0.007;8.572;6.574;0
2;0.272;0.143;0.205;0.13;7.154;4.173;0
2;0.287;0.134;0.137;0.075;8.827;6.635;0
2;0.449;0.109;0.089;0.033;5.506;3.949;0
2;0.463;0.082;0.051;0.018;3.69;2.908;0
2;0.512;0.052;0.027;0.105;5.93;5.283;0
2;0.101;0.102;0.02;0.012;2.247;2.564;0
2;0.424;0.046;0.007;0.193;6.529;6.19;0
2;0.287;0.07;0.076;0.361;8.084;7.834;0
3;0.192;0.036;0.187;0.066;7.289;4.335;1
3;0.282;0.115;0.154;0.083;8.599;6.164;0
3;0.39;0.176;0.06;0.007;6.276;5.297;0
3;0.436;0.112;0.11;0.031;7.222;5.469;0
3;0.446;0.039;0.179;0.025;6.452;4.302;0
3;0.444;0.106;0.097;0.105;9.038;7.266;0
3;0.062;0.038;0.065;0.017;2.279;1.375;0
3;0.345;0.021;0.025;0.272;8.011;7.344;0
3;0.142;0.085;0.018;0.381;11.916;11.131;0
4;0.205;0.083;0.227;0.109;8.976;5.448;1
4;0.346;0.109;0.168;0.059;6.991;4.025;0
4;0.406;0.095;0.125;0;6.755;4.707;0
4;0.149;0.057;0.321;0.002;6.526;4.256;0
4;0.472;0.126;0.087;0.121;7.772;6.301;0
4;0.467;0.078;0.105;0.108;9.397;7.639;0
4;0.499;0.085;0.046;0.191;9.099;7.977;0
4;0.095;0.141;0.094;0.068;2.437;2.253;0
4;0.205;0.051;0.023;0.304;10.229;9.574;0
5;0.126;0.157;0.159;0.046;5.701;2.503;0
5;0.095;0.177;0.145;0.084;10.387;8.072;0
5;0.211;0.189;0.104;0.128;8.707;7.08;0
5;0.271;0.085;0.082;0.1;5.435;4.12;0
5;0.367;0.107;0.014;0.011;3.917;3.669;0
5;0.109;0.131;0.011;0.125;0.634;0.547;0
5;0.435;0.082;0.036;0.136;7.139;6.61;0
5;0.15;0.033;0.153;0.136;0.631;1.135;0
5;0.291;0.019;0.058;0.165;5.734;5.367;0
5;0.174;0.163;0.105;0.282;8.546;8.107;0
6;0.049;0.224;0.062;0.045;8.743;7.73;0
6;0.176;0.151;0.137;0.098;8.698;6.551;0
6;0.223;0.144;0.166;0.103;8.717;6.527;0
6;0.253;0.023;0.131;0.068;4.371;2.617;0
6;0.431;0.15;0.053;0.004;5.957;5.09;0
6;0.456;0.014;0.066;0.173;4.564;3.531;0
6;0.531;0.08;0.054;0.168;5.364;5.873;0
6;0.465;0.052;0.037;0.228;6.542;6.463;0
6;0.371;0.068;0.062;0.293;7.171;6.524;0
6;0.127;0.149;0.085;0.339;10.543;9.903;0
7;0.273;0.055;0.147;0.016;3.311;0.516;1
7;0.297;0.086;0.277;0.106;8.686;5.462;0
7;0.383;0.17;0.154;0.084;9.094;6.673;0
7;0.418;0.107;0.126;0.035;7.443;5.449;0
7;0.513;0.119;0.156;0.005;7.712;5.66;0
7;0.52;0.08;0.06;0.149;8.023;6.841;0
7;0.396;0.099;0.121;0.238;9.285;7.84;0
7;0.031;0.04;0.061;0.036;3.243;2.208;0
7;0.197;0.082;0.033;0.237;8.187;7.689;0
8;0.117;0.07;0.166;0.003;7.691;5.057;0
8;0.17;0.182;0.126;0.126;8.247;6.341;0
8;0.36;0.108;0.192;0.008;7.523;4.918;0
8;0.368;0.096;0.044;0.089;4.552;3.835;0
8;0.117;0.067;0.235;0.055;3.521;2.051;0
8;0.172;0.046;0.119;0.079;1.206;0.178;0
8;0.442;0.055;0.006;0.163;7.503;7.039;0
8;0.165;0.048;0.043;0.084;3.041;2.852;0
8;0.238;0.031;0.051;0.302;9.003;8.426;0
8;0.078;0.174;0.074;0.33;10.142;9.627;0
9;0.049;0.083;0.078;0.006;5.236;3.988;0
