EPisode;diff_expZ_0;diff_expZ_1;diff_expZ_2;diff_expZ_3;diff_Q_0;diff_Q_1;action_diff
9;0.135;0.154;0.076;0.076;7.452;6.225;0
9;0.231;0.129;0.074;0.087;6.602;5.409;0
9;0.056;0.039;0.168;0.138;0.045;1.534;0
9;0.345;0.099;0.074;0.003;5.602;4.419;0
9;0.437;0.046;0.042;0.07;5.13;4.319;0
9;0.29;0.003;0.127;0.091;7.208;5.01;0
9;0.391;0.011;0.051;0.175;5.356;5.366;0
9;0.36;0.052;0.055;0.335;7.844;7.257;0
9;0.095;0.115;0.156;0.32;8.684;9.061;0
10;0.181;0.185;0.214;0.093;11.861;8.499;0
10;0.186;0.093;0.237;0.148;0.905;1.959;0
10;0.026;0.08;0.04;0.056;3.916;3.263;0
10;0.226;0.034;0.299;0.301;3.387;1.233;0
10;0.436;0.048;0.018;0.041;0.73;0.522;0
10;0.225;0.048;0.161;0.009;7.161;4.591;1
10;0.301;0.092;0.049;0.363;3.182;3.816;1
10;0.254;0.133;0.167;0.472;1.968;0.646;0
10;0.069;0.153;0.056;0.204;6.12;5.218;0
10;0.368;0.117;0.042;0.262;4.749;5.128;0
10;0.07;0.11;0.042;0.164;2.195;2.829;0
10;0.114;0.009;0.012;0.163;1.757;1.799;0
10;0.091;0.159;0.144;0.111;6.178;3.347;1
10;0.101;0.196;0.019;0.12;6.766;6.428;0
10;0.001;0.242;0.048;0.219;7.883;7.083;0
10;0.131;0.014;0.202;0.206;1.766;5.858;1
10;0.218;0.196;0.109;0.334;4.919;4.311;0
10;0.261;0.14;0.085;0.125;5.968;9.232;1
10;0.077;0.033;0.264;0.07;9.702;5.535;1
10;0.249;0.244;0.062;0.082;4.938;3.458;0
10;0.053;0.052;0.126;0.156;5.401;3.435;0
10;0.011;0.16;0.091;0.171;7.946;6.495;0
10;0.012;0.008;0.188;0.022;5.751;2.703;0
10;0.005;0.221;0.106;0.114;9.269;7.516;0
10;0.138;0.229;0.098;0.047;15.714;15.177;0
10;0.025;0.018;0.171;0.141;3.693;0.817;1
10;0.077;0.056;0.213;0.182;1.117;2.804;1
10;0.25;0.05;0.178;0.051;5.612;10.292;1
10;0.118;0.097;0.327;0.126;6.658;1.387;1
10;0.092;0.093;0.19;0.033;9.221;6.207;1
10;0.268;0.046;0.177;0.204;2.19;0.456;0
10;0.206;0.138;0.169;0.096;9.988;7.302;0
10;0.044;0.048;0.083;0.065;1.175;0.126;0
10;0.057;0.031;0.009;0.127;0.704;0.843;0
10;0.222;0.118;0.217;0.125;0.732;5.838;1
10;0.078;0.071;0.117;0.125;1.539;0.294;0
10;0.003;0.021;0.061;0.053;2.836;1.899;0
10;0.236;0.186;0.031;0.142;3.039;3.738;0
10;0.2;0.2;0.113;0.173;16.959;16.731;0
10;0.181;0.003;0.101;0.109;12.481;12.205;0
10;0.074;0.1;0.127;0.081;4.819;3.395;0
10;0.08;0.08;0.038;0.057;2.838;2.862;0
10;0.017;0.216;0.003;0.006;7.978;8.012;0
10;0.139;0.106;0.03;0.236;6.507;7.386;1
10;0.183;0.196;0.104;0.134;12.508;15.484;1
10;0.138;0.017;0.154;0.157;1.767;1.979;1
10;0.296;0.101;0.023;0.034;19.478;21.309;0
10;0.056;0.103;0.126;0.155;7.907;8.2;0
10;0.061;0.204;0.087;0.114;7.119;6.386;0
10;0.298;0.187;0.129;0.292;4.404;6.994;0
10;0.079;0.086;0.047;0.107;2.834;2.053;0
10;0.456;0.098;0.058;0.255;11.831;15.142;0
10;0.388;0.042;0.139;0.373;8.114;10.477;0
10;0.248;0.236;0.145;0.35;6.693;5.754;0
10;0.268;0.021;0.351;0.309;4.079;3.232;0
10;0.223;0.041;0.048;0.132;1.319;1.311;0
10;0.136;0.382;0.126;0.082;9.331;9.274;0
10;0.293;0.06;0.09;0.133;1.516;1.446;0
10;0.19;0.165;0.085;0.177;4.221;4.554;0
10;0.115;0.059;0.025;0.128;0.72;0.227;0
10;0.011;0.037;0.125;0.201;9.877;7.47;1
10;0.417;0.058;0.014;0.285;7.396;7.221;0
10;0.233;0.138;0.041;0.423;10.48;9.501;0
10;0.324;0.155;0.226;0.531;5.413;1.687;1
10;0.14;0.111;0.024;0.438;9.447;9.379;0
10;0.18;0.069;0.145;0.011;6.629;4.347;1
11;0.003;0.131;0.171;0.097;8.284;5.718;0
11;0.021;0.105;0.232;0.198;8.112;5.823;0
11;0.035;0.161;0.1;0.073;8.471;6.863;0
11;0.138;0.166;0.116;0.15;6.766;5.329;0
11;0.22;0.017;0.056;0.155;1.392;2.041;0
11;0.145;0.067;0.125;0.092;0.307;0.141;0
11;0.321;0.085;0.037;0.326;7.355;6.816;0
11;0.279;0.106;0.032;0.406;3.38;3.072;0
11;0.031;0.049;0.046;0.353;8.214;7.688;0
11;0.123;0.091;0.002;0.169;5.885;5.508;0
12;0.091;0.048;0.279;0.004;7.238;4.488;0
12;0.083;0.192;0.081;0.147;8.859;7.548;0
12;0.06;0.264;0.106;0.045;2.739;4.366;1
12;0.043;0.091;0.052;0.075;4.621;3.788;0
12;0.035;0.082;0.011;0.069;3.027;2.835;0
12;0.136;0.056;0.119;0.127;0.8;2.376;0
12;0.273;0.064;0.075;0.079;4.102;2.931;0
12;0.313;0.038;0.106;0.252;1.35;0.113;0
12;0.229;0.001;0.219;0.126;5.318;4.577;0
12;0.17;0.064;0.141;0.241;5.731;5.272;0
12;0.071;0.122;0.171;0.548;4.642;5.777;0
13;0.263;0.157;0.414;0.145;9.979;6.264;1
13;0.183;0.109;0.102;0.041;6.875;5.246;0
13;0.058;0.053;0.251;0.001;4.009;1.257;0
13;0.186;0.051;0.072;0.227;4.009;2.861;0
13;0.325;0.028;0.046;0.009;0.277;0.424;0
13;0.394;0.172;0.024;0.289;5.863;5.967;0
13;0.184;0.057;0.2;0.046;4.652;3.691;0
13;0.171;0.008;0.03;0.037;0.447;0.765;0
13;0.049;0.113;0.085;0.317;9.671;9.612;0
